region,cell_type,process,n_ft,n_sham,n_genes,mean_ft,mean_sham,difference,hedges_g,p_permutation,genes_present,q_bh
dorsal_DG,OPC,energy,4,5,4,1.3594380277361946,1.0681021797796248,0.29133584795656975,1.3905422783456929,0.06349206349206349,Ndufa1;Ndufb8;Cox4i1;Cox5a,0.6258503401360545
ventral_DG,AstroSub1,proliferation,4,4,7,0.08162284539123588,0.07102188801296344,0.010600957378272435,0.14702658522516499,0.8857142857142857,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9857142857142857
ventral_DG,Endothelial,proliferation,3,4,7,0.19224635658009093,0.16236860452748508,0.029877752052605844,2.045479489847974,0.02857142857142857,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.5914285714285714
ventral_DG,ExcitNeuron,proliferation,3,4,7,0.03061317663176155,0.005827661084812519,0.024785515546949032,0.6709189432358008,0.37142857142857144,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.8697478991596638
ventral_DG,Granule,proliferation,3,3,7,0.08723387099370995,0.05578344633134219,0.03145042466236776,0.30143759122524433,0.6,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9199999999999999
ventral_DG,InhibNeuron,proliferation,4,3,7,0.08252056122067686,0.07480632496765033,0.00771423625302653,0.09356323451430519,0.9142857142857143,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9857142857142857
ventral_DG,Microglia1,proliferation,3,4,7,0.10801860893483954,0.10149839955928523,0.006520209375554309,0.038271739389609,0.9142857142857143,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9857142857142857
ventral_DG,Microglia2,proliferation,4,5,7,0.20131488411626458,0.23153907291566062,-0.030224188799396035,-0.3495329192978859,0.6666666666666666,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9583333333333334
ventral_DG,Mossy,proliferation,4,3,7,0.14883953287726756,0.19117213837667904,-0.04233260549941148,-0.564722281243675,0.4,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.8697478991596638
ventral_DG,Oligodend1,proliferation,3,5,7,0.12123814001184237,0.10725937297590629,0.013978767035936077,0.18235949834277618,0.8392857142857143,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9857142857142857
ventral_DG,Oligodend2,proliferation,4,5,7,0.13415183523479857,0.18254211677704552,-0.04839028154224695,-1.0761984503263333,0.1349206349206349,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.7392857142857142
ventral_DG,OPC,proliferation,4,5,7,0.3248902681986982,0.26011893459453345,0.06477133360416476,0.36286206097023804,0.5952380952380952,Mki67;Pcna;Mcm2;Mcm5;Top2a;Ccnd1;Ccnb1,0.9199999999999999
ventral_DG,AstroSub1,activation,4,4,3,0.8632223092537719,0.7323191683274225,0.13090314092634936,0.4243496400979973,0.5142857142857142,Sox2;Ascl1;Fabp7,0.9126984126984128
ventral_DG,Endothelial,activation,3,4,3,0.033425968840867605,0.04567065880018174,-0.012244689959314138,-0.18344287858307318,0.8285714285714286,Sox2;Ascl1;Fabp7,0.9857142857142857
ventral_DG,ExcitNeuron,activation,3,4,3,0.15096230528061083,0.34804536621132487,-0.19708306093071404,-0.8046005442754015,0.2571428571428571,Sox2;Ascl1;Fabp7,0.8697478991596638
ventral_DG,Granule,activation,3,3,3,0.17662600573152018,0.12322061624147419,0.05340538949004599,0.24364256944717244,0.6,Sox2;Ascl1;Fabp7,0.9199999999999999
ventral_DG,InhibNeuron,activation,4,3,3,0.10371006108020897,0.05255720344600561,0.05115285763420336,0.9184529220534328,0.2857142857142857,Sox2;Ascl1;Fabp7,0.8697478991596638
