dataset,contrast,split,first_half_g,second_half_g
GSE309750,HC,161,2.133147066727389,0.9640920474789716
GSE309750,HC,162,1.255350697819692,1.988958960496471
GSE309750,HC,163,0.9470620088951311,2.369756375712922
GSE309750,HC,164,1.7258409638178878,1.5346185491358402
GSE309750,HC,165,1.7532063089182404,1.3046382211932552
GSE309750,HC,166,1.3794727133404727,1.8540463612005367
GSE309750,HC,167,1.7198614296928756,1.6581859409621775
GSE309750,HC,168,1.6959901946998912,1.417834332647236
GSE309750,HC,169,0.9531896810740059,2.063753538986284
GSE309750,HC,170,1.7306960736176724,1.5650509825974968
GSE309750,HC,171,1.3567248906783438,2.161257976559215
GSE309750,HC,172,1.6075881923505886,1.765488434301553
GSE309750,HC,173,1.9634655269969667,1.3962214099190795
GSE309750,HC,174,1.8229944719708018,1.5035257460413862
GSE309750,HC,175,2.0136041309193473,1.1996847094285281
GSE309750,HC,176,1.0255646045727536,2.024955123278335
GSE309750,HC,177,0.19346201621527465,2.7581558827429618
GSE309750,HC,178,1.4696844038654069,1.7213699349796547
GSE309750,HC,179,1.1081649954661437,2.3794922056885692
GSE309750,HC,180,2.0104823291268197,1.2548684518179383
GSE309750,HC,181,1.564188455288324,1.774294416432672
GSE309750,HC,182,1.097734048067678,1.980401580744418
GSE309750,HC,183,2.1157365205651133,1.15559798796824
GSE309750,HC,184,2.0144075127768737,1.3991891771180323
GSE309750,HC,185,1.6295493694484409,1.5717020558706147
GSE309750,HC,186,1.4423511026688496,2.279280472431074
GSE309750,HC,187,1.8320757616143442,1.4503431252816994
GSE309750,HC,188,1.658834759505858,1.6526390699385187
GSE309750,HC,189,1.407275786134078,2.022256679467098
GSE309750,HC,190,1.4254753865649534,1.970599200494976
GSE309750,HC,191,1.0788479311463621,2.3119979171354013
GSE309750,HC,192,1.2628516037472661,2.8760480202564436
GSE309750,HC,193,1.979460930006159,1.3169969074938095
GSE309750,HC,194,1.4894677817508881,1.9158173260022284
GSE309750,HC,195,1.1490141769649533,2.256440512058548
GSE309750,HC,196,1.372496666400294,1.8989925578132114
GSE309750,HC,197,1.6096475005434514,1.6084675622669447
GSE309750,HC,198,2.3338353546186146,0.725608444840746
GSE309750,HC,199,1.8207322347730714,1.3276832364881828
GSE309750,MC,0,1.9475623168296095,2.8444842182084153
GSE309750,MC,1,2.142584529742411,2.120296599835481
GSE309750,MC,2,3.4183776311989154,1.3914970350363725
GSE309750,MC,3,2.4070037345462603,1.899343100041841
GSE309750,MC,4,1.8799792045371457,2.739008178037954
GSE309750,MC,5,2.0918758170963563,2.0415081266197457
GSE309750,MC,6,2.194797310150841,2.8141716301996857
GSE309750,MC,7,2.433484552482203,1.7172651409276802
GSE309750,MC,8,2.2211047307773235,2.4460114747699944
GSE309750,MC,9,2.262394731392918,2.229439415858567
GSE309750,MC,10,2.3602871666305503,2.0263917996726533
GSE309750,MC,11,1.9192810554234534,1.9939983029081192
GSE309750,MC,12,1.6883722671569867,1.9539715411724978
GSE309750,MC,13,1.32189195951457,2.6828384701005996
GSE309750,MC,14,2.3868144921283956,2.174250983923559
GSE309750,MC,15,1.6931655709423392,2.831174225736215
GSE309750,MC,16,2.394984541297678,2.1827150818726464
GSE309750,MC,17,2.7503673063291236,1.9484179277920333
GSE309750,MC,18,3.4993171136701,1.8794321703598256
GSE309750,MC,19,2.0597890544510262,2.947552502512401
GSE309750,MC,20,1.7239748878480665,3.264861506423397
GSE309750,MC,21,3.1777537834571175,1.3399956120250232
GSE309750,MC,22,4.180366327863438,1.2293794019217423
GSE309750,MC,23,1.9039862818842,2.3523352983835775
GSE309750,MC,24,2.603071914553974,1.828706639115053
GSE309750,MC,25,2.8204154461330675,2.064363302014332
GSE309750,MC,26,2.6805992417295346,2.1854336947471227
GSE309750,MC,27,1.0550622828557294,4.618027607706399
GSE309750,MC,28,1.9989071110879062,2.1986525026750097
GSE309750,MC,29,2.28524192527143,2.122308619619849
GSE309750,MC,30,2.8397080838045223,1.7050957968795657
GSE309750,MC,31,2.3667930474367473,1.6713683977175045
GSE309750,MC,32,2.1085291541420967,2.6156958200946208
GSE309750,MC,33,2.719630224350086,1.9936791350570684
GSE309750,MC,34,2.3113509820246905,2.0062588413831355
GSE309750,MC,35,1.9717952396087426,2.3359290952521543
GSE309750,MC,36,2.369942239698367,1.4318677931050385
GSE309750,MC,37,2.5624784041598465,1.8086114862235887
GSE309750,MC,38,2.244857566410621,1.9625401592749412
GSE309750,MC,39,2.151407569283492,2.0480155391775
GSE309750,MC,40,2.038160814015339,2.0870927483556256
GSE309750,MC,41,2.0459532661890405,2.106305479798796
GSE309750,MC,42,2.772648570805893,1.5247321925044917
GSE309750,MC,43,2.131035497144474,2.259214087234534
GSE309750,MC,44,2.44405790318688,1.7934886945475796
GSE309750,MC,45,2.2660601066193924,2.0211476973981966
GSE309750,MC,46,4.429316122178587,1.8531586264487356
GSE309750,MC,47,2.411463156937829,2.061790675569571
GSE309750,MC,48,2.1195677561198942,2.2803503405919767
GSE309750,MC,49,2.4715308377085683,2.0964182538300893
GSE309750,MC,50,1.6554030168295724,2.6905048477737
GSE309750,MC,51,2.019827811334519,2.0710343903117137
GSE309750,MC,52,3.231853428071509,1.592387753938639
GSE309750,MC,53,1.9691539285137964,1.8077830963840575
