dataset,contrast,gene,effect,statistic,p_value,q_value,within_contrast_rank
GSE222756,venDG_FT_vs_Control,Abca4,-2.425051445728039,-7.00326613428246,2.500631697157746e-12,4.154943297057406e-11,809.0
GSE222756,venDG_FT_vs_Control,Abca5,0.7511839408447233,3.3850465709982567,0.0007116617917661069,0.002673604752632758,3578.0
GSE222756,venDG_FT_vs_Control,Abca8a,0.27351312980260956,3.12442097017455,0.001781553721545692,0.006030633373210071,3971.0
GSE222756,venDG_FT_vs_Control,Abcb11,-1.8356774507600926,-2.447015071800946,0.014404481537909748,0.03684586885491586,5256.0
GSE222756,venDG_FT_vs_Control,Abcb8,-0.8172191549739501,-5.4981578130703825,3.8377939921035746e-08,3.432310501786843e-07,1503.0
GSE222756,venDG_FT_vs_Control,Abcb9,-0.3491452163519321,-3.0041098901021073,0.0026635910025437715,0.00855940479469122,4183.0
GSE222756,venDG_FT_vs_Control,Abcd1,-0.46821893662668934,-2.861440926906492,0.004217200861149784,0.012813655961929338,4424.0
GSE222756,venDG_FT_vs_Control,Abcd2,0.30808754840080316,4.477042141590748,7.568431426014608e-06,4.511314890734199e-05,2255.0
GSE222756,venDG_FT_vs_Control,Abce1,-0.28040476793355823,-4.472787342502487,7.720654970009639e-06,4.592081597649095e-05,2260.0
GSE222756,venDG_FT_vs_Control,Abcf1,0.21434938472328477,2.9442734793986993,0.0032371381567267423,0.010176242072666247,4276.0
GSE222756,venDG_FT_vs_Control,Abcf2,-0.28777056696980874,-4.14224425715947,3.439237758290621e-05,0.0001769917073006988,2612.0
GSE222756,venDG_FT_vs_Control,Abcf3,-0.5448742601600822,-6.191133940376509,5.973292292271418e-10,7.143504892590072e-09,1124.0
GSE222756,venDG_FT_vs_Control,Abcg4,-0.32679543230351393,-3.3697113599846245,0.000752469586658218,0.002811199606409051,3598.0
GSE222756,venDG_FT_vs_Control,Abhd1,-0.250487288230959,-2.791262255421868,0.005250291265797858,0.015493123472543543,4555.0
GSE222756,venDG_FT_vs_Control,Abhd11,-0.6356356622189554,-4.374343751342055,1.2179832408903408e-05,6.942205979291151e-05,2358.0
GSE222756,venDG_FT_vs_Control,Abhd12,-0.34502619964568126,-5.200005878632983,1.9928222332316786e-07,1.5757362623000132e-06,1700.0
GSE222756,venDG_FT_vs_Control,Abhd13,0.6552255067952896,7.960253158256583,1.716876399159214e-15,4.084646470353655e-14,565.0
GSE222756,venDG_FT_vs_Control,Abhd16a,-0.6996287383637642,-6.453809142202266,1.0907316384792424e-10,1.4416533613016694e-09,1017.0
